image_path,label,class_id
image/lou_0096.jpg,spalling,3
image/kong_0066.jpg,void,2
image/xiu_150.jpg,corrosion,4
image/kong_0316.jpg,void,2
image/gangf_116.jpg,steel_crack,1
image/lou_0134.jpg,spalling,3
image/xiu_201.jpg,corrosion,4
image/gangf_168.jpg,steel_crack,1
image/xiu_208.jpg,corrosion,4
image/kong_0284.jpg,void,2
image/kong_0293.jpg,void,2
image/lou_0356.jpg,spalling,3
image/lou_0324.jpg,spalling,3
image/00661.jpg,pothole,5
image/gangf_167.jpg,steel_crack,1
image/crack_0016.jpg,concrete_crack,0
image/kong_0086.jpg,void,2
image/xiu_046.jpg,corrosion,4
image/xiu_137.jpg,corrosion,4
image/crack_0046.jpg,concrete_crack,0
image/gangf_103.jpg,steel_crack,1
image/crack_0513.jpg,concrete_crack,0
image/00020.jpg,pothole,5
image/gangf_250.jpg,steel_crack,1
image/xiu_148.jpg,corrosion,4
image/kong_0272.jpg,void,2
image/kong_0121.jpg,void,2
image/kong_0331.jpg,void,2
image/crack_0161.jpg,concrete_crack,0
image/gangf_061.jpg,steel_crack,1
image/crack_0494.jpg,concrete_crack,0
image/crack_0162.jpg,concrete_crack,0
image/kong_0380.jpg,void,2
image/gangf_274.jpg,steel_crack,1
image/00065.jpg,pothole,5
image/gangf_153.jpg,steel_crack,1
image/kong_0353.jpg,void,2
image/crack_0015.jpg,concrete_crack,0
image/crack_0039.jpg,concrete_crack,0
image/kong_0364.jpg,void,2
image/gangf_255.jpg,steel_crack,1
image/gangf_129.jpg,steel_crack,1
image/lou_0341.jpg,spalling,3
image/gangf_262.jpg,steel_crack,1
image/kong_0276.jpg,void,2
image/lou_0410.jpg,spalling,3
image/lou_0176.jpg,spalling,3
image/kong_0302.jpg,void,2
image/gangf_059.jpg,steel_crack,1
image/lou_0353.jpg,spalling,3
image/xiu_168.jpg,corrosion,4
image/kong_0286.jpg,void,2
image/xiu_190.jpg,corrosion,4
image/xiu_077.jpg,corrosion,4
image/lou_0380.jpg,spalling,3
image/lou_0194.jpg,spalling,3
image/lou_0060.jpg,spalling,3
image/kong_0377.jpg,void,2
image/31.jpg,honeycomb,6
image/00061.jpg,pothole,5
image/gangf_042.jpg,steel_crack,1
image/crack_0504.jpg,concrete_crack,0
image/kong_0367.jpg,void,2
image/gangf_216.jpg,steel_crack,1
image/gangf_202.jpg,steel_crack,1
image/kong_0152.jpg,void,2
image/80.jpg,looseness,7
image/crack_0692.jpg,concrete_crack,0
image/kong_0349.jpg,void,2
image/24.jpg,honeycomb,6
image/kong_0281.jpg,void,2
image/gangf_147.jpg,steel_crack,1
image/gangf_176.jpg,steel_crack,1
image/xiu_194.jpg,corrosion,4
image/62.jpeg,looseness,7
image/gangf_119.jpg,steel_crack,1
image/00698.jpg,pothole,5
image/crack_0700.jpg,concrete_crack,0
image/xiu_175.jpg,corrosion,4
image/gangf_272.jpg,steel_crack,1
image/lou_0349.jpg,spalling,3
image/lou_0327.jpg,spalling,3
image/xiu_080.jpg,corrosion,4
image/11.jpg,honeycomb,6
image/crack_0682.jpg,concrete_crack,0
image/3.jpg,efflorescence,8
image/gangf_114.jpg,steel_crack,1
image/lou_0387.jpg,spalling,3
image/xiu_068.jpg,corrosion,4
image/noncrack_noncrack_concrete_wall_72_1.jpg,non_damage,9
image/crack_0685.jpg,concrete_crack,0
image/crack_0024.jpg,concrete_crack,0
image/lou_0145.jpg,spalling,3
image/lou_0169.jpg,spalling,3
image/00687.jpg,pothole,5
image/lou_0277.jpg,spalling,3
image/lou_0361.jpg,spalling,3
image/lou_0066.jpg,spalling,3
image/xiu_117.jpg,corrosion,4
image/lou_0306.jpg,spalling,3
image/00669.jpg,pothole,5
image/xiu_225.jpg,corrosion,4
image/gangf_058.jpg,steel_crack,1
image/58.jpg,honeycomb,6
image/10.jpg,honeycomb,6
image/xiu_215.jpg,corrosion,4
image/gangf_237.jpg,steel_crack,1
image/00707.jpg,pothole,5
image/xiu_144.jpg,corrosion,4
image/noncrack_noncrack_concrete_wall_16_0.jpg,non_damage,9
image/lou_0068.jpg,spalling,3
image/crack_0035.jpg,concrete_crack,0
image/xiu_065.jpg,corrosion,4
image/gangf_141.jpg,steel_crack,1
image/00643.jpg,pothole,5
image/gangf_064.jpg,steel_crack,1
image/crack_0190.jpg,concrete_crack,0
image/lou_0112.jpg,spalling,3
image/crack_0227.jpg,concrete_crack,0
image/22.jpg,honeycomb,6
image/gangf_082.jpg,steel_crack,1
image/lou_0057.jpg,spalling,3
image/gangf_093.jpg,steel_crack,1
image/xiu_113.jpg,corrosion,4
image/lou_0312.jpg,spalling,3
image/xiu_142.jpg,corrosion,4
image/xiu_034.jpg,corrosion,4
image/gangf_048.jpg,steel_crack,1
image/gangf_047.jpg,steel_crack,1
image/xiu_232.jpg,corrosion,4
image/lou_0087.jpg,spalling,3
image/lou_0163.jpg,spalling,3
image/kong_0314.jpg,void,2
image/gangf_243.jpg,steel_crack,1
image/49.JPG,honeycomb,6
image/kong_0092.jpg,void,2
image/kong_0328.jpg,void,2
image/crack_0007.jpg,concrete_crack,0
image/lou_0401.jpg,spalling,3
image/lou_0375.jpg,spalling,3
image/xiu_070.jpg,corrosion,4
image/00683.jpg,pothole,5
image/lou_0344.jpg,spalling,3
image/kong_0135.jpg,void,2
